,0
JD,2459791
Date,7-30-2022
LST Range,16.059 -- 18.059 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,372
Total Number of Antennas,147
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 3 RF_maintenance: 42 RF_ok: 11 digital_maintenance: 1 digital_ok: 87 not_connected: 3
Commanded Signal Source,antenna
Antennas in Commanded State,111 / 147 (75.5%)
Cross-Polarized Antennas,
Total Number of Nodes,15
Nodes Registering 0s,N18
Nodes Not Correlating,"N08, N10"
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,78 / 147 (53.1%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,101 / 147 (68.7%)
Redcal Done?,N
Never Flagged Antennas,31 / 147 (21.1%)
A Priori Good Antennas Flagged,"60 / 87 total a priori good antennas: 5, 7, 10, 16, 19, 20, 30, 37, 41, 42, 45, 50, 51, 54, 55, 56, 57, 72, 81, 83, 84, 88, 91, 92, 93, 99, 101, 103, 105, 106, 107, 108, 109, 111, 117, 118, 121, 122, 123, 128, 129, 130, 135, 138, 141, 142, 145, 160, 161, 165, 167, 169, 170, 176, 177, 178, 179, 181, 187, 190"
A Priori Bad Antennas Not Flagged,"4 / 60 total a priori bad antennas: 3, 38, 67, 100"
