,0
JD,2459801
Date,8-9-2022
LST Range,17.149 -- 19.149 hours
X-Engine Status,Y Y Y Y Y Y Y Y 
Number of Files,372
Total Number of Antennas,147
 ,
OPERATIONAL STATUS SUMMARY,
Antenna A Priori Status Count,dish_maintenance: 3 RF_maintenance: 32 RF_ok: 11 digital_maintenance: 3 digital_ok: 95 not_connected: 3
Commanded Signal Source,antenna
Antennas in Commanded State,108 / 147 (73.5%)
Cross-Polarized Antennas,93
Total Number of Nodes,15
Nodes Registering 0s,N18
Nodes Not Correlating,"N08, N09, N14, N19"
  ,
NIGHTLY ANALYSIS SUMMARY,
Ant Metrics Done?,Y
Ant Metrics Flagged Antennas,71 / 147 (48.3%)
Auto Metrics Done?,Y
Auto Metrics Flagged Antennas,108 / 147 (73.5%)
Redcal Done?,N
Never Flagged Antennas,32 / 147 (21.8%)
A Priori Good Antennas Flagged,"65 / 95 total a priori good antennas: 5, 7, 16, 19, 30, 37, 38, 45, 53, 54, 55, 65, 66, 67, 69, 72, 73, 83, 84, 85, 86, 88, 91, 93, 94, 98, 99, 101, 103, 105, 106, 107, 108, 111, 117, 121, 122, 123, 130, 140, 141, 142, 143, 144, 156, 160, 161, 162, 163, 164, 165, 167, 169, 170, 177, 179, 181, 183, 184, 185, 186, 187, 189, 190, 191"
A Priori Bad Antennas Not Flagged,"2 / 52 total a priori bad antennas: 4, 135"
